image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.878442,bus,van,False
drive_022,2,3,0.766529,car,car,True
drive_022,3,1,0.847671,car,car,True
drive_022,4,4,0.643978,van,car,False
drive_022,5,5,0.701207,truck,bus,False
drive_033,1,3,0.675116,car,car,True
drive_033,2,9,0.849935,car,car,True
drive_033,3,4,0.683316,car,car,True
drive_033,4,7,0.80024,car,car,True
drive_033,6,5,0.730301,car,car,True
drive_033,9,8,0.809355,car,car,True
drive_033,14,6,0.741797,car,car,True
drive_033,15,10,0.675801,car,car,True
drive_033,16,1,0.935221,bus,van,False
drive_033,17,2,0.792004,truck,bus,False
drive_033,18,11,0.822118,car,car,True
drive_033,19,12,0.754507,bus,van,False
drive_038,1,8,0.867618,car,car,True
drive_038,2,7,0.760956,car,car,True
drive_038,3,6,0.828349,car,car,True
drive_038,4,2,0.926005,car,car,True
drive_038,5,3,0.913747,car,car,True
drive_038,6,4,0.818989,car,car,True
drive_038,7,1,0.889519,car,car,True
drive_038,10,13,0.725396,car,car,True
drive_038,11,17,0.895268,car,car,True
drive_038,15,15,0.837046,van,truck,False
drive_038,16,9,0.892707,truck,bus,False
drive_038,18,11,0.737022,car,car,True
drive_038,19,16,0.691101,car,car,True
drive_008,1,16,0.875857,car,car,True
drive_008,2,11,0.8422,car,car,True
drive_008,3,6,0.790047,car,car,True
drive_008,4,4,0.812003,car,car,True
drive_008,5,2,0.900408,car,car,True
drive_008,6,7,0.731364,car,car,True
drive_008,7,1,0.810787,truck,bus,False
drive_008,8,9,0.938508,bus,van,False
drive_008,10,12,0.813136,van,truck,False
drive_008,11,3,0.855465,van,truck,False
drive_008,12,5,0.783883,van,truck,False
